,active,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,date,defensive_rebounds,game_score,location,made_field_goals,made_free_throws,made_three_point_field_goals,offensive_rebounds,opponent,outcome,personal_fouls,plus_minus,points_scored,seconds_played,steals,team,turnovers,player_id
0,True,0,11,2,4,0,2022-10-19,4,5.0,HOME,4,1,1,1,CLEVELAND CAVALIERS,WIN,1,-4,10,1076,0,TORONTO RAPTORS,0,achiupr01
1,True,0,6,3,1,0,2022-10-21,6,-2.2,AWAY,1,2,0,0,BROOKLYN NETS,LOSS,2,-8,4,1049,0,TORONTO RAPTORS,3,achiupr01
2,True,1,9,7,5,0,2022-10-22,8,17.1,AWAY,5,6,2,3,MIAMI HEAT,LOSS,1,16,18,2012,0,TORONTO RAPTORS,1,achiupr01
3,True,2,12,1,1,1,2022-10-24,18,12.7,AWAY,5,0,0,4,MIAMI HEAT,WIN,2,10,10,2023,0,TORONTO RAPTORS,0,achiupr01
4,True,4,7,0,3,0,2022-10-26,3,5.9,HOME,3,0,1,3,PHILADELPHIA 76ERS,WIN,3,14,7,1278,0,TORONTO RAPTORS,2,achiupr01
5,True,1,6,0,3,1,2022-10-28,1,-3.5,HOME,0,0,0,2,PHILADELPHIA 76ERS,LOSS,1,-10,0,897,0,TORONTO RAPTORS,2,achiupr01
6,True,1,3,6,1,0,2022-10-31,3,8.9,HOME,2,6,0,0,ATLANTA HAWKS,WIN,1,11,10,1065,0,TORONTO RAPTORS,1,achiupr01
7,True,1,9,4,3,1,2022-11-02,6,10.1,AWAY,4,4,0,0,SAN ANTONIO SPURS,WIN,1,6,12,1260,1,TORONTO RAPTORS,1,achiupr01
8,True,2,9,6,3,1,2022-11-04,5,13.6,AWAY,4,6,1,3,DALLAS MAVERICKS,LOSS,1,2,15,1596,0,TORONTO RAPTORS,2,achiupr01
9,True,2,6,2,2,1,2022-11-06,1,4.5,HOME,2,1,0,3,CHICAGO BULLS,WIN,3,-20,5,851,1,TORONTO RAPTORS,1,achiupr01
10,True,1,6,2,0,1,2022-11-07,3,10.0,AWAY,4,2,0,1,CHICAGO BULLS,LOSS,1,-16,10,832,0,TORONTO RAPTORS,0,achiupr01
11,True,1,8,0,2,1,2022-11-09,2,1.2,HOME,2,0,0,4,HOUSTON ROCKETS,WIN,2,-11,4,749,0,TORONTO RAPTORS,2,achiupr01
12,True,2,3,2,1,3,2023-01-02,0,4.6,AWAY,1,1,0,0,INDIANA PACERS,LOSS,2,-11,3,746,1,TORONTO RAPTORS,0,achiupr01
13,True,0,5,0,2,0,2023-01-04,1,-1.1,HOME,1,0,0,1,MILWAUKEE BUCKS,LOSS,0,-5,2,713,0,TORONTO RAPTORS,1,achiupr01
14,True,1,3,0,1,0,2023-01-06,1,1.3,HOME,1,0,0,0,NEW YORK KNICKS,LOSS,0,-7,2,274,0,TORONTO RAPTORS,0,achiupr01
15,True,0,6,0,2,1,2023-01-08,2,1.9,HOME,2,0,0,0,PORTLAND TRAIL BLAZERS,WIN,0,-4,4,640,0,TORONTO RAPTORS,0,achiupr01
16,True,0,9,0,5,1,2023-01-10,2,8.2,HOME,5,0,3,0,CHARLOTTE HORNETS,WIN,2,8,13,825,0,TORONTO RAPTORS,1,achiupr01
17,True,0,7,3,3,0,2023-01-12,1,9.5,HOME,4,1,1,1,CHARLOTTE HORNETS,WIN,1,-1,10,1059,5,TORONTO RAPTORS,2,achiupr01
18,True,1,9,5,1,0,2023-01-14,1,9.8,HOME,5,4,0,3,ATLANTA HAWKS,LOSS,4,-4,14,1654,1,TORONTO RAPTORS,2,achiupr01
19,True,0,6,4,2,0,2023-01-16,7,6.2,AWAY,2,4,0,1,NEW YORK KNICKS,WIN,3,-8,8,1223,0,TORONTO RAPTORS,0,achiupr01
20,True,0,10,2,3,1,2023-01-17,2,8.2,AWAY,4,1,2,5,MILWAUKEE BUCKS,LOSS,2,4,11,1562,0,TORONTO RAPTORS,1,achiupr01
21,True,1,8,4,1,2,2023-01-19,1,9.5,AWAY,5,0,1,3,MINNESOTA TIMBERWOLVES,LOSS,2,2,11,1248,0,TORONTO RAPTORS,0,achiupr01
